OBJECTID,vmoTipusKod,Torzsszam,vmoNev,Rendszam,VMOEov_EOVx,VMOEov_EOVy,vFkAllomas_AdatgazdaNev,vFkAllomas_Nevr,vFkAllomas_Leiras,vFkAllomas_TalajvizkutTelepulesNev,vFkAllomas_KapcsSzkmNev,vFkAllomas_AllomasTavmBemenetNev,vFkAllomas_AllomasTVA,vFkAllomas_TalajvizkutKatSzam,vFkAllomas_TalajvizkutJelzoszam,vFkAllomas_FkAllAdatforgTipNev,vFkAllomas_TalajvizkutVizminVanE,vFkAllomas_TalajvizkutTipuskodNev,vFkAllomas_TalajvizkutTerepmag,vFkAllomas_TalajvizkutKutperemmag,vFkAllomas_TalajvizkutKutmelyseg,vFkAllomas_TalajvizjutGyorsadat,vFkAllomas_FkAllVKImon,vFkAllomas_FkAllUzemelesNev
21,12,6931,Mosonmagyaróvár,AOR647,282290.26,516241.63,ÉDUVIZIG,GNMOM1B,2007-ben létesült Phare kút. A 000116 Mosonmagyaróvár eltömődött állomás kiváltására vontuk be az észlelésbe.,Mosonmagyaróvár,Szigetközi szakaszmérnökség,nincs távmérő,1,-,-,észlelt,0,törzsállomás,119.56,120.41,1150,0,0,üzemel
22,12,110241,Rajka,ABX124,295795.33,515567.08,ÉDUVIZIG,-,-,Rajka,Szigetközi szakaszmérnökség,nincs távmérő,0,-,F-1 Rajka,regisztrált,0,üzemi állomás,126.21,127.27,5030,0,1,üzemel
23,12,110635,Rajka,ACA639,295188.48,513426.28,ÉDUVIZIG,-,-,Rajka,Szigetközi szakaszmérnökség,nincs távmérő,0,-,9369,regisztrált,0,üzemi állomás,126.31,127.37,1700,0,0,üzemel
24,12,110621,Dunakiliti,ACA240,294853.92,515958.44,ÉDUVIZIG,-,-,Dunakiliti,Szigetközi szakaszmérnökség,nincs távmérő,0,-,9330,regisztrált,0,üzemi állomás,126.95,127.44,1277,0,0,üzemel
25,12,4134,Újrónafő,AAV185,278796,513513,ÉDUVIZIG,-,-,Újrónafő,Hansági szakaszmérnökség,nincs távmérő,1,-,3304,regisztrált,0,törzsállomás,118.33,119.29,1000,0,0,üzemel
26,12,4135,Jánossomorja,AAP256,276937,504884,ÉDUVIZIG,-,-,Jánossomorja,Hansági szakaszmérnökség,nincs távmérő,1,-,3305,regisztrált,0,törzsállomás,119.83,120.82,1000,0,0,üzemel
27,12,143,Feketeerdő,AAO017,289121.08,517654.78,ÉDUVIZIG,-,-,Feketeerdő,Szigetközi szakaszmérnökség,nincs távmérő,1,-,2600,regisztrált,0,törzsállomás,122.4,122.79,830,1,0,üzemel
28,12,144,Feketeerdő,AAO018,288118.59,516485.46,ÉDUVIZIG,-,-,Feketeerdő,Szigetközi szakaszmérnökség,nincs távmérő,1,-,2611,regisztrált,0,törzsállomás,122.1,123.06,833,0,0,üzemel
29,12,6137,Újrónafő,AIW034,275983.3,511583.36,ÉDUVIZIG,-,-,Újrónafő,Hansági szakaszmérnökség,"csak ""tárolt"" adatok (reg) átadása",1,-,-,távmért,0,törzsállomás,117.86,118.63,780,0,0,üzemel
30,12,110664,Mosonmagyaróvár,ACA867,284675.13,517257,ÉDUVIZIG,-,-,Mosonmagyaróvár,Szigetközi szakaszmérnökség,nincs távmérő,0,-,9418,regisztrált,0,üzemi állomás,121.06,122.16,1300,0,0,üzemel
31,12,110619,Dunakiliti,ACA241,295047.54,516209.97,ÉDUVIZIG,-,-,Dunakiliti,Szigetközi szakaszmérnökség,nincs távmérő,0,-,9327,regisztrált,0,üzemi állomás,126.22,126.81,1250,0,0,üzemel
